cust_num,DMA,geo_demog_desc,comment_ind,prod_flg_10,prod_flg_11,tenure_months,dc_flg,cpe_cnt,svc_flg_01,svc_flg_02,prod_flg_01,prod_flg_02,prod_flg_03,prod_flg_04,prod_flg_05,prod_flg_06,prod_flg_07,prod_flg_08,prod_flg_09,prior_retention_handling_cnt,prior_escalations_cnt,prior_sprvsr_cnt,addl_cpe_cnt,prior_bill_credit_cnt,prior_bill_calls,prior_gen_Q_cnt,prior_svc_change_cnt,contract_flg,delta_metric_01,prior_reconnect_cnt,credit_score,vol_disco_ind,acct_type,product
24703686,Miami-Ft Lauderdale FL,BOOMTOWN SINGLES,1,0,0,6,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,N,0,0,827,0,T019,P0003
24731865,Atlanta GA,COUNTRY SQUIRES,1,0,0,6,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,0,0,998,0,T019,P0003
24970529,New York NY,POOLS & PATIOS,1,0,0,5,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,999,0,T019,P0003
25050905,Los Angeles CA,URBAN ACHIEVERS,1,0,0,6,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,0,0,998,0,T019,P0003
25126909,Jacksonville FL-Brunswick GA,BOOMTOWN SINGLES,1,0,0,6,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
25315476,San Francisco-Oakland-San Jose CA,MOVERS & SHAKERS,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
25326315,San Francisco-Oakland-San Jose CA,"BRITE LITES, LITTLE CITY",1,0,0,4,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,978,0,T019,P0003
25441347,Los Angeles CA,AMERICAN DREAMS,1,0,0,5,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,976,0,T019,P0003
25501468,New York NY,MOVERS & SHAKERS,1,0,0,4,Y,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
25670230,Bakersfield CA,COUNTRY CASUALS,1,0,0,4,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,N,0,0,998,0,T019,P0003
25847281,Los Angeles CA,BIG CITY BLUES,1,0,0,12,Y,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Y,-1.83,0,999,0,T019,P0003
25974348,Seattle-Tacoma WA,URBAN ACHIEVERS,1,0,0,10,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,947,1,T019,P0003
25977873,Chicago IL,YOUNG DIGERATI,1,0,0,4,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,N,0,0,919,0,T019,P0003
25997970,Tucson AZ,"BIG FISH, SMALL POND",1,0,0,9,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,998,1,T019,P0003
26197479,Eugene OR,YOUNG & RUSTICS,1,0,0,7,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,N,0,0,620,0,T019,P0003
28729035,Los Angeles CA,SUBURBAN SPRAWL,1,0,0,5,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,972,0,T019,P0003
29041926,Miami-Ft Lauderdale FL,KIDS & CUL-DE-SACS,1,0,0,5,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,986,0,T019,P0003
29610774,Sacramento-Stockton-Modesto CA,HOMETOWN RETIRED,1,0,0,5,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,N,0,0,997,0,T019,P0003
29950833,New York NY,POOLS & PATIOS,1,0,0,10,Y,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,N,0,0,999,1,T019,P0003
29959182,San Francisco-Oakland-San Jose CA,YOUNG DIGERATI,1,0,0,10,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,N,0,0,711,1,T019,P0003
29994891,Phoenix AZ,MOVERS & SHAKERS,1,0,0,6,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,998,0,T019,P0003
29996215,Philadelphia PA,DOMESTIC DUOS,1,0,0,5,Y,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,1,T019,P0003
32846096,Boston MA,MULTI-CULTI MOSAIC,1,0,0,11,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,996,1,T019,P0003
32965482,Houston TX,HOME SWEET HOME,1,0,0,11,N,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Y,-1,0,999,0,T019,P0003
33044362,New York NY,KIDS & CUL-DE-SACS,1,1,0,10,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-4.99,0,866,0,T019,P0003
33123219,Tampa-St Petersburg FL,CLOSE-IN COUPLES,1,0,0,8,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,965,0,T019,P0003
33322027,New York NY,BIG CITY BLUES,1,0,0,9,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,-14.97,0,878,0,T019,P0003
33328602,New York NY,URBAN ACHIEVERS,1,0,0,9,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,0,0,997,1,T019,P0003
33514015,Mobile AL-Pensacola FL,YOUNG & RUSTICS,1,0,0,8,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,N,0,0,882,0,T019,P0003
33557078,Seattle-Tacoma WA,WINNER'S CIRCLE,1,0,0,8,N,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,N,0,1,999,1,T019,P0003
33657613,Portland OR,HOMETOWN RETIRED,1,0,0,7,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,N,0,0,997,1,T019,P0003
33770106,Minneapolis-St Paul MN,GOD'S COUNTRY,1,0,0,6,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,0,0,991,0,T019,P0003
33782943,Tucson AZ,THE COSMOPOLITANS,1,0,0,5,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0.17,0,999,0,T019,P0003
33835022,West Palm Beach-Ft Pierce FL,WHITE PICKET FENCES,1,0,0,3,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,N,0,0,966,0,T019,P0003
33837412,Hartford-New Haven CT,YOUNG INFLUENTIALS,1,0,0,5,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,992,0,T019,P0003
33837550,Houston TX,COUNTRY SQUIRES,1,0,0,5,Y,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,999,0,T019,P0003
33854505,Las Vegas NV,AMERICAN DREAMS,1,0,0,5,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,N,0,0,999,0,T019,P0003
36426410,Orlando-Daytona FL,UPWARD BOUND,1,0,0,14,Y,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,3.48,0,849,0,T019,P0003
36603375,Savannah GA,"BIG FISH, SMALL POND",1,0,0,13,Y,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,0,0,999,0,T019,P0003
36743970,Los Angeles CA,THE COSMOPOLITANS,1,0,0,12,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,996,0,T019,P0003
37030153,Los Angeles CA,SUBURBAN SPRAWL,1,0,0,11,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Y,-4.99,0,937,1,T019,P0003
37078585,Wichita-Hutchinson KS,UP-AND-COMERS,1,0,0,10,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,N,0,0,999,0,T019,P0003
37110136,Washington DC - Hagerstown MD,MAYBERRY-VILLE,1,0,0,10,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,0,0,999,0,T019,P0003
37131263,Charleston SC,WHITE PICKET FENCES,1,0,0,10,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N,0,0,991,0,T019,P0003
37251057,Sacramento-Stockton-Modesto CA,UPWARD BOUND,1,0,0,8,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,991,0,T019,P0003
37254599,Los Angeles CA,THE COSMOPOLITANS,1,0,0,8,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,987,0,T019,P0003
